ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,text
31837,Food and Entertaining,"[header] How to make stuffing in a slow cooker [title] Cut bread into half-inch (1.27 centimeter) cubes. [step] Purchase a rustic white bread or sourdough bread. If your bread came in a loaf, cutting it into slices first will make cutting it into cubes easier.",,"[header] How to make stuffing in a slow cooker [title] Cut bread into half-inch (1.27 centimeter) cubes. [step] Purchase a rustic white bread or sourdough bread. If your bread came in a loaf, cutting it into slices first will make cutting it into cubes easier.","[""Replace the bread or sourdough you'd like to make in another loaf in a second recipe. [substeps] You can buy prepared square loaves online or look them up on the internet."", ""If you bought bread and you're making the stuffing yourself, you can store it in the fridge. [title] Preheat your slow cooker to 425 ° f (218 ° c)."", 'Stack up three to four slices of bread and cut the bread into half-inch (1.27 centimeter) strips, then cut your strips into half-inch (1.27 centimeter) cubes. [substeps] Using a sharp serrated knife is best when cutting bread.', '[substeps] Using a bread cutter will also make the cubes easier to mash when scooping the dough into the pot. [title] Ladle the dough into the slow cooker.']",wikihow~52482,train,indomain,2,"[header] How to make stuffing in a slow cooker [title] Cut bread into half-inch (1.27 centimeter) cubes. [step] Purchase a rustic white bread or sourdough bread. If your bread came in a loaf, cutting it into slices first will make cutting it into cubes easier.
A. Replace the bread or sourdough you'd like to make in another loaf in a second recipe. [substeps] You can buy prepared square loaves online or look them up on the internet.
B. If you bought bread and you're making the stuffing yourself, you can store it in the fridge. [title] Preheat your slow cooker to 425 ° f (218 ° c).
C. Stack up three to four slices of bread and cut the bread into half-inch (1.27 centimeter) strips, then cut your strips into half-inch (1.27 centimeter) cubes. [substeps] Using a sharp serrated knife is best when cutting bread.
D. [substeps] Using a bread cutter will also make the cubes easier to mash when scooping the dough into the pot. [title] Ladle the dough into the slow cooker.
Answer:"
44871,Fun sliding down,He is climbing up a set of stairs. Now is sliding fast down a slide. Another boy is shown playing in the grass.,now the first boy,He is climbing up a set of stairs. Now is sliding fast down a slide. Another boy is shown playing in the grass. now the first boy,"['is being picked up by a woman.', 'climbs up a set of stairs and continues sliding up the stairs.', 'is sliding down a concrete slide.', 'is riding a wheelchair up the slide.']",activitynet~v_sJFgo9H6zNo,train,indomain,0,"He is climbing up a set of stairs. Now is sliding fast down a slide. Another boy is shown playing in the grass. now the first boy
A. is being picked up by a woman.
B. climbs up a set of stairs and continues sliding up the stairs.
C. is sliding down a concrete slide.
D. is riding a wheelchair up the slide.
Answer:"
805,Youth,"[header] How to enjoy being single as a teen girl [title] Remember that there's nothing wrong with being single. [step] Pop culture glorifies relationships. As a single person, you might feel like you're not normal, but realize that "" normal "" is different for everyone, and that a significant proportion of teens never date in high school.",,"[header] How to enjoy being single as a teen girl [title] Remember that there's nothing wrong with being single. [step] Pop culture glorifies relationships. As a single person, you might feel like you're not normal, but realize that "" normal "" is different for everyone, and that a significant proportion of teens never date in high school.","[""Visiting the library is great, just make sure you keep a book in your library. And it doesn't even need to be a required reading book; many hours for study, and you can take advantage of the information from learning a new article in a newspaper."", 'Make sure that your "" friends "" are, at least, individuals you can call up when you need to talk. [substeps] This doesn\'t mean that you have to try to "" go dial "" your closest friends, that\'s just part of having a relationship.', ""Plus, being in a relationship comes with many complications of its own. There's nothing wrong with being single as a teen-it can actually be more fun! [title] Don't rush to find a relationship."", ""Many single teenagers set up relationships, but even that doesn't necessarily mean being single. Of course, some teens do, in a variety of ways : [substeps] Hang out with your friends.""]",wikihow~1329,train,indomain,2,"[header] How to enjoy being single as a teen girl [title] Remember that there's nothing wrong with being single. [step] Pop culture glorifies relationships. As a single person, you might feel like you're not normal, but realize that "" normal "" is different for everyone, and that a significant proportion of teens never date in high school.
A. Visiting the library is great, just make sure you keep a book in your library. And it doesn't even need to be a required reading book; many hours for study, and you can take advantage of the information from learning a new article in a newspaper.
B. Make sure that your "" friends "" are, at least, individuals you can call up when you need to talk. [substeps] This doesn't mean that you have to try to "" go dial "" your closest friends, that's just part of having a relationship.
C. Plus, being in a relationship comes with many complications of its own. There's nothing wrong with being single as a teen-it can actually be more fun! [title] Don't rush to find a relationship.
D. Many single teenagers set up relationships, but even that doesn't necessarily mean being single. Of course, some teens do, in a variety of ways : [substeps] Hang out with your friends.
Answer:"
24372,Computers and Electronics,"[header] How to visit the statue of liberty [title] Reserve tickets. [step] Tickets are required to enter any level of the statue of liberty, including the pedestal and crown. Tickets will also be required for the ferry ride to liberty island.",,"[header] How to visit the statue of liberty [title] Reserve tickets. [step] Tickets are required to enter any level of the statue of liberty, including the pedestal and crown. Tickets will also be required for the ferry ride to liberty island.","['[title] Use bus station and train station options. [step] Before visiting liberty island, choose the bus station option, which shows bus and train station platform locations.', 'You can purchase them online, or at the statue of liberty website. Of course, if you are touring a large city, there are a variety of options for tickets.', '[substeps] To reserve tickets, visit the statue of liberty website. Click on the "" arrange tickets "" option on the left-hand column on the account page.', 'Buy tickets to the desired parts of the statue of liberty through the national park service, or at ferry terminals in battery park or new jersey. Tickets can be purchased in advance online or over the phone.']",wikihow~40190,train,indomain,3,"[header] How to visit the statue of liberty [title] Reserve tickets. [step] Tickets are required to enter any level of the statue of liberty, including the pedestal and crown. Tickets will also be required for the ferry ride to liberty island.
A. [title] Use bus station and train station options. [step] Before visiting liberty island, choose the bus station option, which shows bus and train station platform locations.
B. You can purchase them online, or at the statue of liberty website. Of course, if you are touring a large city, there are a variety of options for tickets.
C. [substeps] To reserve tickets, visit the statue of liberty website. Click on the "" arrange tickets "" option on the left-hand column on the account page.
D. Buy tickets to the desired parts of the statue of liberty through the national park service, or at ferry terminals in battery park or new jersey. Tickets can be purchased in advance online or over the phone.
Answer:"
6928,Health,"[header] How to perform an enema at home [title] Understand what a cleansing enema is. [step] A cleansing enema is what most people think of when they hear the word "" enema "": designed to be quick and easy, this enema is supposed to cause quick evacuation and help clean the colon. There are several different kinds of cleansing enemas.",,"[header] How to perform an enema at home [title] Understand what a cleansing enema is. [step] A cleansing enema is what most people think of when they hear the word "" enema "": designed to be quick and easy, this enema is supposed to cause quick evacuation and help clean the colon. There are several different kinds of cleansing enemas.","['Here are just a few that you can safely use at home : [substeps] Lemon juice. Helps cleanse the colon and adjust the ph in the colon.', 'Some are also more comfortable than others, and the choice is entirely yours. Luckily, there are several main types you can choose from : [substeps] Meditate.', 'The first type of cleansing enema is done by splashing water in a basin and submerging your colon. Then using two to three syringes, prick your colon.', '[substeps] Quick evacuation: this enema works because the colon tightens up until the colon becomes a bit drier than the rest of the colon. If you have too much acid in your system, the colon is open and the acid can be regurgitated.']",wikihow~11445,train,indomain,0,"[header] How to perform an enema at home [title] Understand what a cleansing enema is. [step] A cleansing enema is what most people think of when they hear the word "" enema "": designed to be quick and easy, this enema is supposed to cause quick evacuation and help clean the colon. There are several different kinds of cleansing enemas.
A. Here are just a few that you can safely use at home : [substeps] Lemon juice. Helps cleanse the colon and adjust the ph in the colon.
B. Some are also more comfortable than others, and the choice is entirely yours. Luckily, there are several main types you can choose from : [substeps] Meditate.
C. The first type of cleansing enema is done by splashing water in a basin and submerging your colon. Then using two to three syringes, prick your colon.
D. [substeps] Quick evacuation: this enema works because the colon tightens up until the colon becomes a bit drier than the rest of the colon. If you have too much acid in your system, the colon is open and the acid can be regurgitated.
Answer:"
7151,Playing congas,A young man plays a set of red bongo drums.,he,A young man plays a set of red bongo drums. he,"['starts playing the drums in his front yard.', 'hits the drums, and then the drums.', 'continues to play them.', 'signals the hammer and blow.']",activitynet~v_jBFn08ZRKSE,train,indomain,2,"A young man plays a set of red bongo drums. he
A. starts playing the drums in his front yard.
B. hits the drums, and then the drums.
C. continues to play them.
D. signals the hammer and blow.
Answer:"
26379,Trimming branches or hedges,Two men are working together in an orchard. They use very long shears to cut the branches.,they,Two men are working together in an orchard. They use very long shears to cut the branches. they,"['then rake over the leaves and continue pruning the tree.', 'slice down the tree as they work.', 'use various tools to trim, cut, cut the bark off the tree.', 'keep trimming the trees as they go.']",activitynet~v_RgMAHuMVRcU,train,indomain,3,"Two men are working together in an orchard. They use very long shears to cut the branches. they
A. then rake over the leaves and continue pruning the tree.
B. slice down the tree as they work.
C. use various tools to trim, cut, cut the bark off the tree.
D. keep trimming the trees as they go.
Answer:"
50530,Finance and Business,"[header] How to use the scan it! Device at stop & shop [title] Enter the store and locate the scan it! [step] Recharging area. These are conveniently located near the entrances. If there are no available guns left, you can either check the other area (if applicable) or you can ask customer service.",,"[header] How to use the scan it! Device at stop & shop [title] Enter the store and locate the scan it! [step] Recharging area. These are conveniently located near the entrances. If there are no available guns left, you can either check the other area (if applicable) or you can ask customer service.","['[title] Double check your device! [step] Something may have been changed with the scanning system. Now that might seem like an obvious fix, but if something about your device has changed, think twice about following the step.', ""[title] Click on the scan it! [title] Disable screen misrepresentation. [step] Just because the scanner is not software compatible isn't always the case."", '[title] Scan your stop & shop card with the scanner. [step] It will then load up your card information and device coupons to a scanner, which will light up on the charger.', 'Or then just start looking at the windows until all the guns at stop & shop are in it. [title] You need to be looking at windows which is more than the normal scanner area.']",wikihow~83154,train,indomain,2,"[header] How to use the scan it! Device at stop & shop [title] Enter the store and locate the scan it! [step] Recharging area. These are conveniently located near the entrances. If there are no available guns left, you can either check the other area (if applicable) or you can ask customer service.
A. [title] Double check your device! [step] Something may have been changed with the scanning system. Now that might seem like an obvious fix, but if something about your device has changed, think twice about following the step.
B. [title] Click on the scan it! [title] Disable screen misrepresentation. [step] Just because the scanner is not software compatible isn't always the case.
C. [title] Scan your stop & shop card with the scanner. [step] It will then load up your card information and device coupons to a scanner, which will light up on the charger.
D. Or then just start looking at the windows until all the guns at stop & shop are in it. [title] You need to be looking at windows which is more than the normal scanner area.
Answer:"
41327,Travel,[header] How to encourage your child to eat healthy snacks [title] Let your child have some choices. [step] Making some simple snacks available and letting your child pick their favorites can be a good way to engage their interest. Allowing them to control some toppings or extras can keep snacks healthy and allow your child to feel involved in their nutrition.,,[header] How to encourage your child to eat healthy snacks [title] Let your child have some choices. [step] Making some simple snacks available and letting your child pick their favorites can be a good way to engage their interest. Allowing them to control some toppings or extras can keep snacks healthy and allow your child to feel involved in their nutrition.,"['[substeps] Choose more than one flavor with your child each day. No need to divide your snacks by categories.', ""If you don't allow your child to have a variety of snacks throughout the day, they may get bored easily. [substeps] Offer your child choices like eat something thin on crackers or round up vegetables so your child doesn't waste food."", '[substeps] Experiment with different dips and candies and give your child the opportunity to choose. Check out some examples of what you can make for your child.', '[substeps] Offer two to three snack options and allow your child to pick. Offer a few basic options like carrot sticks, broccoli, or fruits.']",wikihow~68006,train,indomain,3,"[header] How to encourage your child to eat healthy snacks [title] Let your child have some choices. [step] Making some simple snacks available and letting your child pick their favorites can be a good way to engage their interest. Allowing them to control some toppings or extras can keep snacks healthy and allow your child to feel involved in their nutrition.
A. [substeps] Choose more than one flavor with your child each day. No need to divide your snacks by categories.
B. If you don't allow your child to have a variety of snacks throughout the day, they may get bored easily. [substeps] Offer your child choices like eat something thin on crackers or round up vegetables so your child doesn't waste food.
C. [substeps] Experiment with different dips and candies and give your child the opportunity to choose. Check out some examples of what you can make for your child.
D. [substeps] Offer two to three snack options and allow your child to pick. Offer a few basic options like carrot sticks, broccoli, or fruits.
Answer:"
28463,Food and Entertaining,"[header] How to freeze brussels sprouts [title] Take the brussels sprouts off the stalk. [step] If they're already off of the stalk, you can skip this step. Otherwise, grab the individual sprouts and pull them away from the stalk until they snap off.",,"[header] How to freeze brussels sprouts [title] Take the brussels sprouts off the stalk. [step] If they're already off of the stalk, you can skip this step. Otherwise, grab the individual sprouts and pull them away from the stalk until they snap off.","[""[substeps] If you're working with fresh brussels sprouts, trim off the outer stalk before freezing them in place. If you want the fresh brussels sprouts to cook faster, rewrap them in aluminum foil before freezing them."", 'Most brussels sprouts snap off with a snap. [title] Keep them in a tightly sealed bag.', 'Once all the sprouts are off, dispose of the stalk. [title] Soak the brussels sprouts in warm water for 10 minutes.', '[substeps] If you prefer enchiladas or other toppings that can be frozen evenly, choose frozen brussels sprouts rather than iceberg lettuce. [title] Place the stalks in a paper bag or tupperware container.']",wikihow~46888,train,indomain,2,"[header] How to freeze brussels sprouts [title] Take the brussels sprouts off the stalk. [step] If they're already off of the stalk, you can skip this step. Otherwise, grab the individual sprouts and pull them away from the stalk until they snap off.
A. [substeps] If you're working with fresh brussels sprouts, trim off the outer stalk before freezing them in place. If you want the fresh brussels sprouts to cook faster, rewrap them in aluminum foil before freezing them.
B. Most brussels sprouts snap off with a snap. [title] Keep them in a tightly sealed bag.
C. Once all the sprouts are off, dispose of the stalk. [title] Soak the brussels sprouts in warm water for 10 minutes.
D. [substeps] If you prefer enchiladas or other toppings that can be frozen evenly, choose frozen brussels sprouts rather than iceberg lettuce. [title] Place the stalks in a paper bag or tupperware container.
Answer:"
21492,Making a cake,Several images of a bakery and a chef are shown and then a little animate guy comes along showing what the video will be about.,a real chef,Several images of a bakery and a chef are shown and then a little animate guy comes along showing what the video will be about. a real chef,"['then appears and begins cutting small layers of cakes and adding them together.', 'appears eating a sandwich and showing many different ingredients.', 'is now standing in kitchen speaking to the camera and he begins cutting layers of cake and putting them onto a baking pan with the ingredients laid out.', 'shows the ingredients for the features such as baking bread at the bakery achievement cooking center.']",activitynet~v_FaiSWZFSHSE,train,indomain,0,"Several images of a bakery and a chef are shown and then a little animate guy comes along showing what the video will be about. a real chef
A. then appears and begins cutting small layers of cakes and adding them together.
B. appears eating a sandwich and showing many different ingredients.
C. is now standing in kitchen speaking to the camera and he begins cutting layers of cake and putting them onto a baking pan with the ingredients laid out.
D. shows the ingredients for the features such as baking bread at the bakery achievement cooking center.
Answer:"
15571,Playing polo,Two polo players run across a field. One player falls off his horse. Other polo players rush to the man laying on the field.,an ambulance,Two polo players run across a field. One player falls off his horse. Other polo players rush to the man laying on the field. an ambulance,"['arrives with the man in it.', 'drives in and takes away the head of the injured player.', 'pulls up and paramedics help the man out of the ambulance.', ""comes to the player's aid.""]",activitynet~v_84OwFujqHyw,train,indomain,3,"Two polo players run across a field. One player falls off his horse. Other polo players rush to the man laying on the field. an ambulance
A. arrives with the man in it.
B. drives in and takes away the head of the injured player.
C. pulls up and paramedics help the man out of the ambulance.
D. comes to the player's aid.
Answer:"
45671,Mowing the lawn,A man is seen pushing a lawn mower with a small child behind him. A dog walks in and out of frame while the man continues pushing the mower.,the man,A man is seen pushing a lawn mower with a small child behind him. A dog walks in and out of frame while the man continues pushing the mower. the man,"['then moves teh the limbs back and fourth of the yard and stops moving to speak.', 'continues pushing the mower back and fourth and ends by letting it go.', 'stops and the girl walks back towards the camera while the man continues to push the mower.', 'stops and the boy stands right beside him.']",activitynet~v_5oy5Yi6fzJU,train,indomain,3,"A man is seen pushing a lawn mower with a small child behind him. A dog walks in and out of frame while the man continues pushing the mower. the man
A. then moves teh the limbs back and fourth of the yard and stops moving to speak.
B. continues pushing the mower back and fourth and ends by letting it go.
C. stops and the girl walks back towards the camera while the man continues to push the mower.
D. stops and the boy stands right beside him.
Answer:"
