ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,prompt
21423,Computers and Electronics,[header] How to hide the notification bar on android [title] Pull down twice from the top of the screen. [step] This pulls down the notification drawer and then pulls it down further to show the quick settings tiles. [title] Tap and hold wh. Performance. Clearmarks (' image1 _ rendered'); wh. Performance. Mark (' image1 _ rendered'); for several seconds.,,[header] How to hide the notification bar on android [title] Pull down twice from the top of the screen. [step] This pulls down the notification drawer and then pulls it down further to show the quick settings tiles. [title] Tap and hold wh. Performance. Clearmarks (' image1 _ rendered'); wh. Performance. Mark (' image1 _ rendered'); for several seconds.,"['[step] It will begin caramelizing your notification bar, to enable snagnets, checkpoints, or other options. Try and click the tick next to "" clear notification bar "" before proceeding.', '[title] Swipe left once in the options. [step] This will reveal a list of choices; make sure you tap very carefully, as your fingers will slide just from the first selection.', '[step] Doing so will re-prepare the notification bar so that it is not visible from the bottom. [title] Lower the notification tray to a discreet, visible position.', ""[step] It's the gear-shaped icon in the top-right of the notification drawer. After holding on it for a few seconds, the gear icon will spin and roll off the screen.""]",wikihow~35391,val,indomain,3,"[header] How to hide the notification bar on android [title] Pull down twice from the top of the screen. [step] This pulls down the notification drawer and then pulls it down further to show the quick settings tiles. [title] Tap and hold wh. Performance. Clearmarks (' image1 _ rendered'); wh. Performance. Mark (' image1 _ rendered'); for several seconds.
A. [step] It will begin caramelizing your notification bar, to enable snagnets, checkpoints, or other options. Try and click the tick next to "" clear notification bar "" before proceeding.
B. [title] Swipe left once in the options. [step] This will reveal a list of choices; make sure you tap very carefully, as your fingers will slide just from the first selection.
C. [step] Doing so will re-prepare the notification bar so that it is not visible from the bottom. [title] Lower the notification tray to a discreet, visible position.
D. [step] It's the gear-shaped icon in the top-right of the notification drawer. After holding on it for a few seconds, the gear icon will spin and roll off the screen.
Answer:"
14253,Tennis serve with ball bouncing,Then the person in white begins taking about more about the tennis serve and how to play effectively.,the player,Then the person in white begins taking about more about the tennis serve and how to play effectively. the player,"['in gray tries more of the serve and fails every time.', 'in white returns his serve and keeps it.', 'continues to demonstrate the serves.', 'goes back and forth between the two balls as the crowd claps and the man in black takes his bell and lets fly until he hits the ball.']",activitynet~v_n9MONPwq7x0,val,indomain,2,"Then the person in white begins taking about more about the tennis serve and how to play effectively. the player
A. in gray tries more of the serve and fails every time.
B. in white returns his serve and keeps it.
C. continues to demonstrate the serves.
D. goes back and forth between the two balls as the crowd claps and the man in black takes his bell and lets fly until he hits the ball.
Answer:"
4778,Pets and Animals,"[header] How to take care of a friend's dog [title] Make sure you have the time and space to care for a dog. [step] If a friend asks you to watch their dog, only agree to do so if you have the time and space in your life. If you live in a tiny apartment and already have two dogs, adding a third might be stressful and overwhelming.",,"[header] How to take care of a friend's dog [title] Make sure you have the time and space to care for a dog. [step] If a friend asks you to watch their dog, only agree to do so if you have the time and space in your life. If you live in a tiny apartment and already have two dogs, adding a third might be stressful and overwhelming.","[""Make sure you can commit to caring for both dogs at one time. You don't need more than a couple of hours if you can budget it."", ""If you work a 60 hour week and barely have any spare time, you might not be the best dog sitting candidate for your friend. [substeps] Consider the dog's activity level."", ""Both dogs need to be included in your lifestyle and find homes in the same community. [substeps] You won't be able to manage two dogs if you feel overwhelmed."", ""Only let someone else watch it until they've got it at home. [substeps] Make sure you have enough space to work with the dog each week and pay for monthly expenses.""]",wikihow~7934,val,indomain,1,"[header] How to take care of a friend's dog [title] Make sure you have the time and space to care for a dog. [step] If a friend asks you to watch their dog, only agree to do so if you have the time and space in your life. If you live in a tiny apartment and already have two dogs, adding a third might be stressful and overwhelming.
A. Make sure you can commit to caring for both dogs at one time. You don't need more than a couple of hours if you can budget it.
B. If you work a 60 hour week and barely have any spare time, you might not be the best dog sitting candidate for your friend. [substeps] Consider the dog's activity level.
C. Both dogs need to be included in your lifestyle and find homes in the same community. [substeps] You won't be able to manage two dogs if you feel overwhelmed.
D. Only let someone else watch it until they've got it at home. [substeps] Make sure you have enough space to work with the dog each week and pay for monthly expenses.
Answer:"
4663,Bathing dog,"After she's done washing, she wipes him dry with a towel. Then she bathes the little puppy the same way with soap and water.",the dog,"After she's done washing, she wipes him dry with a towel. Then she bathes the little puppy the same way with soap and water. the dog","['is redressed and groomed.', 'is all dirty when he is done.', 'is playing on a rug after the bath is over with wet fur on his body.', ""then sits down on the table and it's done.""]",activitynet~v_rojFvhZw_z8,val,indomain,2,"After she's done washing, she wipes him dry with a towel. Then she bathes the little puppy the same way with soap and water. the dog
A. is redressed and groomed.
B. is all dirty when he is done.
C. is playing on a rug after the bath is over with wet fur on his body.
D. then sits down on the table and it's done.
Answer:"
39593,Mooping floor,A person cleans the floor garage with a large mop.,then,A person cleans the floor garage with a large mop. then,"[', the person cleans a large black desk with a clean mop.', ', the person cleans a large sink with a dull length in other parts of the garage.', ', the person sweeps by putting water and a cloth.', ', the man drain the mop in a yellow bucket.']",activitynet~v_lh8ths6sKAE,val,indomain,3,"A person cleans the floor garage with a large mop. then
A. , the person cleans a large black desk with a clean mop.
B. , the person cleans a large sink with a dull length in other parts of the garage.
C. , the person sweeps by putting water and a cloth.
D. , the man drain the mop in a yellow bucket.
Answer:"
27829,Family Life,"[header] How to stop a verbally abusive husband [title] Make different choices about how to respond. [step] You can't change his behavior, but you can prevent your own feelings from plunging you into depression. If this happens often, you probably go right from hearing the abuse to feeling bad.",,"[header] How to stop a verbally abusive husband [title] Make different choices about how to respond. [step] You can't change his behavior, but you can prevent your own feelings from plunging you into depression. If this happens often, you probably go right from hearing the abuse to feeling bad.","['These mood swings are normal, but they can often end for many reasons. Try to stay emotionally composed at all times.', 'Taking responsibility for your decision can help improve your relationships in the long run, and preserve your chances for recovery. [substeps] Tell him to stop immediately if it will help your closure in the long run.', 'If this happens every day, think about what you can do to learn from this situation. [substeps] Start by making a list of things you can do to change the behavior.', 'Think about the step in between-your belief about what happened and why. Chances are, the reasons for what happened are not specifically about you, but about the frustration and rage of your husband.']",wikihow~45849,val,zeroshot,3,"[header] How to stop a verbally abusive husband [title] Make different choices about how to respond. [step] You can't change his behavior, but you can prevent your own feelings from plunging you into depression. If this happens often, you probably go right from hearing the abuse to feeling bad.
A. These mood swings are normal, but they can often end for many reasons. Try to stay emotionally composed at all times.
B. Taking responsibility for your decision can help improve your relationships in the long run, and preserve your chances for recovery. [substeps] Tell him to stop immediately if it will help your closure in the long run.
C. If this happens every day, think about what you can do to learn from this situation. [substeps] Start by making a list of things you can do to change the behavior.
D. Think about the step in between-your belief about what happened and why. Chances are, the reasons for what happened are not specifically about you, but about the frustration and rage of your husband.
Answer:"
16010,Personal Care and Style,"[header] How to make your lips bigger [title] Invest in a lip-plumping product. [step] Lip-plumping products come in many forms: glosses, balms, sticks, gels, and pots. Applying these to your lips can temporarily make your lips look fuller, often by irritating them.",,"[header] How to make your lips bigger [title] Invest in a lip-plumping product. [step] Lip-plumping products come in many forms: glosses, balms, sticks, gels, and pots. Applying these to your lips can temporarily make your lips look fuller, often by irritating them.","['Products like lip-gloss or balms do the same with pigments, firming agents, and other products. [substeps] For added shine, choose products with a sharp top or stick depending on how you normally wear your lipstick.', ""[substeps] The plumping effect will only last for a couple of hours, but you can renew it by reapplying the product to your lips. Note that the effects won't be as drastic as those achieved through cosmetic surgery."", '[substeps] You can apply lip-gloss or your own lip balm to your lips to benefit them and prevent them from looking puffy and swollen. Lip-gloss of any type can be effective in promoting lip-plumping.', 'Try petroleum jelly, makeup remover, or eyeliner to prime your lips before applying lip-plumping products. [substeps] Take a lightweight lip gloss or lip-balm and apply it lightly, especially at night.']",wikihow~26501,val,zeroshot,1,"[header] How to make your lips bigger [title] Invest in a lip-plumping product. [step] Lip-plumping products come in many forms: glosses, balms, sticks, gels, and pots. Applying these to your lips can temporarily make your lips look fuller, often by irritating them.
A. Products like lip-gloss or balms do the same with pigments, firming agents, and other products. [substeps] For added shine, choose products with a sharp top or stick depending on how you normally wear your lipstick.
B. [substeps] The plumping effect will only last for a couple of hours, but you can renew it by reapplying the product to your lips. Note that the effects won't be as drastic as those achieved through cosmetic surgery.
C. [substeps] You can apply lip-gloss or your own lip balm to your lips to benefit them and prevent them from looking puffy and swollen. Lip-gloss of any type can be effective in promoting lip-plumping.
D. Try petroleum jelly, makeup remover, or eyeliner to prime your lips before applying lip-plumping products. [substeps] Take a lightweight lip gloss or lip-balm and apply it lightly, especially at night.
Answer:"
34506,Personal Care and Style,[header] How to take off fake nails [title] Clip your acrylic nails down as far as you can. [step] Use a nail clipper and carefully clip your nails until they are as short as possible. Having shorter acrylic nails will make removing the acrylic nails much easier.,,[header] How to take off fake nails [title] Clip your acrylic nails down as far as you can. [step] Use a nail clipper and carefully clip your nails until they are as short as possible. Having shorter acrylic nails will make removing the acrylic nails much easier.,"['[title] Wrap or zip a thin piece of toilet paper around your cuticles. [step] Take long piece of toilet paper about 10 inches (25 cm) wide.', '[title] Use a nail file to file off the topcoat on your nails. [step] The topcoat is the gel layer that makes the acrylic nails shiny.', ""[substeps] If you have long or thin nails you may want to clip them down a bit further than you'd like so your nails are a little longer. [title] Put some polish on your nails and file."", '[title] Deal with the temporary red stains caused by improper treatment. [step] If your acrylic nails are potentially infected, then the lesions may need additional treatment.']",wikihow~56847,val,zeroshot,1,"[header] How to take off fake nails [title] Clip your acrylic nails down as far as you can. [step] Use a nail clipper and carefully clip your nails until they are as short as possible. Having shorter acrylic nails will make removing the acrylic nails much easier.
A. [title] Wrap or zip a thin piece of toilet paper around your cuticles. [step] Take long piece of toilet paper about 10 inches (25 cm) wide.
B. [title] Use a nail file to file off the topcoat on your nails. [step] The topcoat is the gel layer that makes the acrylic nails shiny.
C. [substeps] If you have long or thin nails you may want to clip them down a bit further than you'd like so your nails are a little longer. [title] Put some polish on your nails and file.
D. [title] Deal with the temporary red stains caused by improper treatment. [step] If your acrylic nails are potentially infected, then the lesions may need additional treatment.
Answer:"
40282,Pets and Animals,"[header] How to treat diarrhea in rabbits [title] Distinguish between true diarrhea and soft cecotropes. [step] Rabbits have complex digestive systems, and they produce two kinds of droppings. True diarrhea occurs when both the fecal droppings and cecotropes are watery and unformed.",,"[header] How to treat diarrhea in rabbits [title] Distinguish between true diarrhea and soft cecotropes. [step] Rabbits have complex digestive systems, and they produce two kinds of droppings. True diarrhea occurs when both the fecal droppings and cecotropes are watery and unformed.","['The faintness of these forms can be genetic, but they also produce the same sour-tasting smell that humans produce when entering a urinary tract. [substeps] Faintness is a symptom of trapped fecal tissue, which absorbs urine into the body.', 'If you see normal, hard fecal matter along with other watery droppings, the problem is actually soft cecotropes. [substeps] True diarrhea is rare in adult rabbits, but sometimes occurs in young rabbits, especially in improperly weaned babies.', ""If one of these liquids remains in the rabbit's stomach then a lump may form, giving the rabbit diarrhea. [substeps] Both types of diarrhea happen to open up the mouth to force the bowel to move, and is mild to moderate."", 'They mimic or decompose nearly any gas, which can potentially cause organ failure and a tumor. Look for watery droppings and fecal discharge-a clear liquid that resembles mud, molasses, or turpentine-once feeding.']",wikihow~66260,val,indomain,1,"[header] How to treat diarrhea in rabbits [title] Distinguish between true diarrhea and soft cecotropes. [step] Rabbits have complex digestive systems, and they produce two kinds of droppings. True diarrhea occurs when both the fecal droppings and cecotropes are watery and unformed.
A. The faintness of these forms can be genetic, but they also produce the same sour-tasting smell that humans produce when entering a urinary tract. [substeps] Faintness is a symptom of trapped fecal tissue, which absorbs urine into the body.
B. If you see normal, hard fecal matter along with other watery droppings, the problem is actually soft cecotropes. [substeps] True diarrhea is rare in adult rabbits, but sometimes occurs in young rabbits, especially in improperly weaned babies.
C. If one of these liquids remains in the rabbit's stomach then a lump may form, giving the rabbit diarrhea. [substeps] Both types of diarrhea happen to open up the mouth to force the bowel to move, and is mild to moderate.
D. They mimic or decompose nearly any gas, which can potentially cause organ failure and a tumor. Look for watery droppings and fecal discharge-a clear liquid that resembles mud, molasses, or turpentine-once feeding.
Answer:"
32319,Clean and jerk,"A man walks up to a barbell and bends over, lifting at the knees. He lifts the barbell up to his chest, rests for a moment, then lifts it over his head.",he,"A man walks up to a barbell and bends over, lifting at the knees. He lifts the barbell up to his chest, rests for a moment, then lifts it over his head. he","['drops the barbell to the floor when he lowers it, holding it tightly as he bends over, then into the crowd before dropping it so far it lands on the floor.', 'drops the barbell as another person hits it.', 'throws the barbell across the gym to land on the white mat below him.', 'holds the pose for a few seconds before dropping it to the ground.']",activitynet~v_PUqHiigzb7A,val,zeroshot,3,"A man walks up to a barbell and bends over, lifting at the knees. He lifts the barbell up to his chest, rests for a moment, then lifts it over his head. he
A. drops the barbell to the floor when he lowers it, holding it tightly as he bends over, then into the crowd before dropping it so far it lands on the floor.
B. drops the barbell as another person hits it.
C. throws the barbell across the gym to land on the white mat below him.
D. holds the pose for a few seconds before dropping it to the ground.
Answer:"
41458,Personal Care and Style,[header] How to wash short hair [title] Pay attention to your scalp. [step] Identify the kind of scalp you have. The type of scalp you possess affects the types of shampoo and conditioner products you should be purchasing for healthy short hair.,,[header] How to wash short hair [title] Pay attention to your scalp. [step] Identify the kind of scalp you have. The type of scalp you possess affects the types of shampoo and conditioner products you should be purchasing for healthy short hair.,"['Look closely at the bottle before you buy. Whether the product is hydrating, clarifying, or moisturizing, its main properties should be listed right on the bottle for you.', '[substeps] Note whether your hair tends to be oily or dry. Oily hair is a much higher risk for hair cancer than dry hair.', ""As part of your hair care regimen, you'll need to care for your scalp. There are many different types of hair, and choosing a hairstyle and style that reflects the kinds of hair you have will give you total control over your hair quality."", 'Depending on your hair type, you may have none/none of the following symptoms, so pay attention. [substeps] Oily hair forms oily or puffiness when it is blended with other healthy hair products.']",wikihow~68228,val,zeroshot,0,"[header] How to wash short hair [title] Pay attention to your scalp. [step] Identify the kind of scalp you have. The type of scalp you possess affects the types of shampoo and conditioner products you should be purchasing for healthy short hair.
A. Look closely at the bottle before you buy. Whether the product is hydrating, clarifying, or moisturizing, its main properties should be listed right on the bottle for you.
B. [substeps] Note whether your hair tends to be oily or dry. Oily hair is a much higher risk for hair cancer than dry hair.
C. As part of your hair care regimen, you'll need to care for your scalp. There are many different types of hair, and choosing a hairstyle and style that reflects the kinds of hair you have will give you total control over your hair quality.
D. Depending on your hair type, you may have none/none of the following symptoms, so pay attention. [substeps] Oily hair forms oily or puffiness when it is blended with other healthy hair products.
Answer:"
46534,Playing lacrosse,A player from the blue team aggressively chases the ball with his lacrosse stick and tries to hit a goal.,his team member,A player from the blue team aggressively chases the ball with his lacrosse stick and tries to hit a goal. his team member,"['passes to another teammate, the sumo makes a goal and the blue team comes out of their seats.', 'spins quickly to evade the ball and missed the goal by two feet.', 'tries to follow the ball and keep it away from the opponent team player.', 'fails the first time and he is called a loser.']",activitynet~v_SwIxaPdYIJE,val,indomain,2,"A player from the blue team aggressively chases the ball with his lacrosse stick and tries to hit a goal. his team member
A. passes to another teammate, the sumo makes a goal and the blue team comes out of their seats.
B. spins quickly to evade the ball and missed the goal by two feet.
C. tries to follow the ball and keep it away from the opponent team player.
D. fails the first time and he is called a loser.
Answer:"
